# termux_arch|package|version|repository_path|sha256
aarch64|pulseaudio|17.0-3|pool/main/p/pulseaudio/pulseaudio_17.0-3_aarch64.deb|a5f891d4ce1110ad18e9a7bfccdc8cbd4474e65dea5b6f5ccfb921bd10420162
aarch64|dbus|1.16.2-3|pool/main/d/dbus/dbus_1.16.2-3_aarch64.deb|1b6d5e349708414acbbb1404210e32d4e3f390890d02e162639dec1016a8657b
aarch64|libandroid-execinfo|0.1-3|pool/main/liba/libandroid-execinfo/libandroid-execinfo_0.1-3_aarch64.deb|725dd2c6da7fc96e860fcc928e18aa9fb0e85e0bdcaf4f8ce0f0654ca6860fc2
aarch64|libltdl|2.6.2|pool/main/libl/libltdl/libltdl_2.6.2_aarch64.deb|7b4643fe9d0ab42c0c3c8a1018640816bdb43d422f2268a5e4ea80675624f539
aarch64|libsndfile|1.2.2-2|pool/main/libs/libsndfile/libsndfile_1.2.2-2_aarch64.deb|f71cca07c3209d6baadd9bd51ab239d66ea89b5dc10bcb86637050b9463ad8da
aarch64|libsoxr|0.1.3-8|pool/main/libs/libsoxr/libsoxr_0.1.3-8_aarch64.deb|a1c5f66aae3b9900e9a492b43901b2b98586870c7905feb9f3c835cc9af464be
aarch64|speexdsp|1.2.1-1|pool/main/s/speexdsp/speexdsp_1.2.1-1_aarch64.deb|21cd5d122a8d24dffb9b2926dff7059f8f42cde7c5a91f27ea5c9b4f40356be0
aarch64|libiconv|1.18-1|pool/main/libi/libiconv/libiconv_1.18-1_aarch64.deb|b19e6f348034bb48d2a5590b5cb242769f682c476717374d134d004cc663dc84
aarch64|libflac|1.5.0-1|pool/main/libf/libflac/libflac_1.5.0-1_aarch64.deb|d1d6fcac6fd6d15c36f34464cb01d5e2140e321d8448dfc396cd7eb1536b1f6c
aarch64|libmp3lame|3.100-7|pool/main/libm/libmp3lame/libmp3lame_3.100-7_aarch64.deb|8c28c74209eb5c31675b4e9c1ee5193c1bf22c49ff5965612dcf9aede5d870d9
aarch64|libogg|1.3.6-1|pool/main/libo/libogg/libogg_1.3.6-1_aarch64.deb|4f1700a532f251ad3600f44f88cd764f1f6b0542d3343391117944b47a92802d
aarch64|libopus|1.6.1|pool/main/libo/libopus/libopus_1.6.1_aarch64.deb|005a9335ce0ec0f510bbe6e0229c901d6f920cc375fcda56461e96cef70f8ff0
aarch64|libvorbis|1.3.7-4|pool/main/libv/libvorbis/libvorbis_1.3.7-4_aarch64.deb|6bfd70c4b570b85594bd06116b75a6f8109ec58cbc123e938b630a6eefdedf4e
arm|pulseaudio|17.0-3|pool/main/p/pulseaudio/pulseaudio_17.0-3_arm.deb|1ee15b0a3178d06b0e1230ed96d817ac19bc7159405d107b686d1d99c486ba24
arm|dbus|1.16.2-3|pool/main/d/dbus/dbus_1.16.2-3_arm.deb|fd768990cc06fd291caddeecc4ff840c09b5c184ee924deca00acb4da731c423
arm|libandroid-execinfo|0.1-3|pool/main/liba/libandroid-execinfo/libandroid-execinfo_0.1-3_arm.deb|9d78f90e7e8f9e02edb176b40acd288c00e4d4c25f22c068656a2e0da71fdd38
arm|libltdl|2.6.2|pool/main/libl/libltdl/libltdl_2.6.2_arm.deb|9de613abbcb09ec605510a927dda1d55508f5fcbc7e5ef7768700dea03be81d5
arm|libsndfile|1.2.2-2|pool/main/libs/libsndfile/libsndfile_1.2.2-2_arm.deb|12e105220776337d003e291f05bed7bd7992a816da36cc1a947b10887f818c2c
arm|libsoxr|0.1.3-8|pool/main/libs/libsoxr/libsoxr_0.1.3-8_arm.deb|7673fe2865f99bb00b41e98d6cc2d57629f438fc55b04ed7c9c26c6ca7340e2f
arm|speexdsp|1.2.1-1|pool/main/s/speexdsp/speexdsp_1.2.1-1_arm.deb|7351c7ab2c95879483756c1c52fd6e4f5c55599bef1e9be5a353a97d6ffc157f
arm|libiconv|1.18-1|pool/main/libi/libiconv/libiconv_1.18-1_arm.deb|a30b5127915dc228bd92f4057184d61ff6eebbca22cb9f26bc5f5cc43c4f3cf3
arm|libflac|1.5.0-1|pool/main/libf/libflac/libflac_1.5.0-1_arm.deb|303943c28e47750a220ca914c5e75d6c7dd087862e85ba1ac55bbe10930a7cd2
arm|libmp3lame|3.100-7|pool/main/libm/libmp3lame/libmp3lame_3.100-7_arm.deb|fc958f59b8b8dfdd7f07f0c11b8c43a55fda04c64f32ff0030e7298147c99113
arm|libogg|1.3.6-1|pool/main/libo/libogg/libogg_1.3.6-1_arm.deb|8f7f1754210f878556040f5f8de5cfe50b1c55c5aa1f6a07aa35276622184999
arm|libopus|1.6.1|pool/main/libo/libopus/libopus_1.6.1_arm.deb|a28ceddf3fa2fdf02308e9444712d727839b077f44c0e210f7fedd9dcabb3651
arm|libvorbis|1.3.7-4|pool/main/libv/libvorbis/libvorbis_1.3.7-4_arm.deb|d6fa26aa0ce8146bdda0f39affe45a649ed23365e6b905da9314ec73cf14e12f
x86_64|pulseaudio|17.0-3|pool/main/p/pulseaudio/pulseaudio_17.0-3_x86_64.deb|76e4af9ec98e356758743144d6f00900b0d0956943cf5728b2eb4d10208b550d
x86_64|dbus|1.16.2-3|pool/main/d/dbus/dbus_1.16.2-3_x86_64.deb|7860940419ff89270227063267f7aab3e3b7a91789359d9296190e50a361aff7
x86_64|libandroid-execinfo|0.1-3|pool/main/liba/libandroid-execinfo/libandroid-execinfo_0.1-3_x86_64.deb|348582b47b4b6dec8c13147437d8bd93d029239bc95f30635074cad08efb6220
x86_64|libltdl|2.6.2|pool/main/libl/libltdl/libltdl_2.6.2_x86_64.deb|9a71bef5c3ba9da2a90ec6dfa0fd99e1802cb03cc3ec37059340c6c7b7f441fd
